,name,y,date
0,5k,0.06666666666666667,2024-07-30 00:00:00.000000000
1,10k,0.08333333333333334,2024-07-30 00:00:00.000000000
2,15k,0.1,2024-07-30 00:00:00.000000000
3,20k,0.11666666666666667,2024-07-30 00:00:00.000000000
