,index,year,month,day,hour,minute,signal,sr,time,date,muscle,id,time_of_day
131,11,2023,11,26,8,41,[509 508 506 ... 515 509 506],1000,"[0.00000000e+00 1.00004041e-03 2.00008081e-03 ... 2.47479999e+01
 2.47490000e+01 2.47500000e+01]",2023-11-26,./Biceps Brachii Right,131,AM
132,12,2023,11,11,9,33,[512 511 513 ... 513 512 512],1000,"[0.00000000e+00 1.00003899e-03 2.00007798e-03 ... 2.56479999e+01
 2.56490000e+01 2.56500000e+01]",2023-11-11,./Biceps Brachii Right,132,AM
133,13,2023,11,25,23,41,[514 540 561 ... 498 483 463],1000,"[0.00000000e+00 1.00003663e-03 2.00007326e-03 ... 2.72979999e+01
 2.72990000e+01 2.73000000e+01]",2023-11-25,./Biceps Brachii Right,133,PM
134,14,2023,11,7,21,47,[516 513 514 ... 517 517 517],1000,"[0.00000000e+00 1.00004728e-03 2.00009457e-03 ... 2.11479999e+01
 2.11490000e+01 2.11500000e+01]",2023-11-07,./Biceps Brachii Right,134,PM
135,15,2023,11,17,21,41,[514 516 513 ... 514 513 515],1000,"[0.00000000e+00 1.00004566e-03 2.00009133e-03 ... 2.18979999e+01
 2.18990000e+01 2.19000000e+01]",2023-11-17,./Biceps Brachii Right,135,PM
136,16,2023,11,16,7,35,[516 512 513 ... 514 518 518],1000,"[0.00000000e+00 1.00005250e-03 2.00010499e-03 ... 1.90479999e+01
 1.90489999e+01 1.90500000e+01]",2023-11-16,./Biceps Brachii Right,136,AM
137,17,2023,11,15,22,52,[515 515 513 ... 511 512 510],1000,"[0.00000000e+00 1.00004630e-03 2.00009260e-03 ... 2.15979999e+01
 2.15990000e+01 2.16000000e+01]",2023-11-15,./Biceps Brachii Right,137,PM
138,18,2023,11,15,8,23,[514 515 515 ... 511 511 514],1000,"[0.00000000e+00 1.00004902e-03 2.00009804e-03 ... 2.03979999e+01
 2.03990000e+01 2.04000000e+01]",2023-11-15,./Biceps Brachii Right,138,AM
139,19,2023,11,18,8,4,[513 512 514 ... 516 516 513],1000,"[0.00000000e+00 1.00005051e-03 2.00010102e-03 ... 1.97979999e+01
 1.97989999e+01 1.98000000e+01]",2023-11-18,./Biceps Brachii Right,139,AM
140,20,2023,11,24,7,33,[519 518 517 ... 527 524 514],1000,"[0.00000000e+00 1.00005209e-03 2.00010417e-03 ... 1.91979999e+01
 1.91989999e+01 1.92000000e+01]",2023-11-24,./Biceps Brachii Right,140,AM
141,21,2023,11,6,21,4,[513 512 512 ... 511 511 513],1000,"[0.00000000e+00 1.00004939e-03 2.00009877e-03 ... 2.02479999e+01
 2.02490000e+01 2.02500000e+01]",2023-11-06,./Biceps Brachii Right,141,PM
142,22,2023,11,27,7,10,[517 519 517 ... 511 512 511],1000,"[0.00000000e+00 1.00003968e-03 2.00007937e-03 ... 2.51979999e+01
 2.51990000e+01 2.52000000e+01]",2023-11-27,./Biceps Brachii Right,142,AM
143,23,2023,11,16,19,23,[509 527 532 ... 520 510 508],1000,"[0.00000000e+00 1.00004357e-03 2.00008715e-03 ... 2.29479999e+01
 2.29490000e+01 2.29500000e+01]",2023-11-16,./Biceps Brachii Right,143,PM
144,24,2023,11,20,8,34,[514 513 514 ... 519 513 507],1000,"[0.00000000e+00 1.00005953e-03 2.00011905e-03 ... 1.67979999e+01
 1.67989999e+01 1.68000000e+01]",2023-11-20,./Biceps Brachii Right,144,AM
145,25,2023,11,17,8,27,[515 515 515 ... 512 513 513],1000,"[0.00000000e+00 1.00004902e-03 2.00009804e-03 ... 2.03979999e+01
 2.03990000e+01 2.04000000e+01]",2023-11-17,./Biceps Brachii Right,145,AM
146,26,2023,11,28,8,43,[512 513 514 ... 514 512 512],1000,"[0.00000000e+00 1.00004474e-03 2.00008949e-03 ... 2.23479999e+01
 2.23490000e+01 2.23500000e+01]",2023-11-28,./Biceps Brachii Right,146,AM
147,27,2023,12,1,21,46,[508 529 530 ... 519 515 510],1000,"[0.00000000e+00 1.00005556e-03 2.00011112e-03 ... 1.79979999e+01
 1.79989999e+01 1.80000000e+01]",2023-12-01,./Biceps Brachii Right,147,PM
148,28,2023,11,26,8,39,[510 513 514 ... 505 520 526],1000,"[0.00000000e+00 1.00004386e-03 2.00008772e-03 ... 2.27979999e+01
 2.27990000e+01 2.28000000e+01]",2023-11-26,./Biceps Brachii Right,148,AM
149,29,2023,11,12,7,25,[515 511 509 ... 499 496 505],1000,"[0.00000000e+00 1.00004445e-03 2.00008889e-03 ... 2.24979999e+01
 2.24990000e+01 2.25000000e+01]",2023-11-12,./Biceps Brachii Right,149,AM
150,30,2023,11,24,21,25,[523 525 522 ... 530 525 517],1000,"[0.00000000e+00 1.00004065e-03 2.00008130e-03 ... 2.45979999e+01
 2.45990000e+01 2.46000000e+01]",2023-11-24,./Biceps Brachii Right,150,PM
151,31,2023,11,29,8,33,[513 515 515 ... 513 512 512],1000,"[0.00000000e+00 1.00004474e-03 2.00008949e-03 ... 2.23479999e+01
 2.23490000e+01 2.23500000e+01]",2023-11-29,./Biceps Brachii Right,151,AM
152,32,2023,11,6,21,4,[510 504 506 ... 508 498 494],1000,"[0.00000000e+00 1.00005334e-03 2.00010667e-03 ... 1.87479999e+01
 1.87489999e+01 1.87500000e+01]",2023-11-06,./Biceps Brachii Right,152,PM
153,33,2023,11,13,21,43,[511 510 511 ... 505 505 504],1000,"[0.00000000e+00 1.00004535e-03 2.00009071e-03 ... 2.20479999e+01
 2.20490000e+01 2.20500000e+01]",2023-11-13,./Biceps Brachii Right,153,PM
154,34,2023,11,11,20,11,[513 512 514 ... 519 515 517],1000,"[0.00000000e+00 1.00004662e-03 2.00009324e-03 ... 2.14479999e+01
 2.14490000e+01 2.14500000e+01]",2023-11-11,./Biceps Brachii Right,154,PM
155,35,2023,11,14,8,7,[521 525 528 ... 529 521 518],1000,"[0.00000000e+00 1.00004630e-03 2.00009260e-03 ... 2.15979999e+01
 2.15990000e+01 2.16000000e+01]",2023-11-14,./Biceps Brachii Right,155,AM
156,36,2023,11,23,8,13,[532 535 536 ... 512 514 513],1000,"[0.00000000e+00 1.00004662e-03 2.00009324e-03 ... 2.14479999e+01
 2.14490000e+01 2.14500000e+01]",2023-11-23,./Biceps Brachii Right,156,AM
157,37,2023,11,26,21,16,[533 541 543 ... 540 542 527],1000,"[0.00000000e+00 1.00004662e-03 2.00009324e-03 ... 2.14479999e+01
 2.14490000e+01 2.14500000e+01]",2023-11-26,./Biceps Brachii Right,157,PM
158,38,2023,11,10,20,44,[511 512 513 ... 513 514 514],1000,"[0.00000000e+00 1.00004246e-03 2.00008493e-03 ... 2.35479999e+01
 2.35490000e+01 2.35500000e+01]",2023-11-10,./Biceps Brachii Right,158,PM
159,39,2023,11,10,5,20,[510 514 515 ... 512 513 506],1000,"[0.00000000e+00 1.00005128e-03 2.00010257e-03 ... 1.94979999e+01
 1.94989999e+01 1.95000000e+01]",2023-11-10,./Biceps Brachii Right,159,AM
