,mean_median_freq,max_median_freq,median_freq_list,id
0,67.88813223429857,75.55555555555556,"[58.62923203963666, 75.36231884057972, 75.55555555555556, 58.73605947955391, 71.15749525616698]",0
1,61.49251138449792,81.96721311475409,"[48.89484259879437, 81.96721311475409, 59.38349954669084, 54.977711738484395, 60.3310197544047, 59.98723675813657, 60.25070764253943, 66.14785992217898]",1
2,54.50848339218879,75.26881720430107,"[43.78762999452655, 75.26881720430107, 51.24653739612189, 45.04504504504504, 62.35011990407674, 49.35275080906149]",2
3,49.56363416868296,54.11585365853659,"[48.74213836477987, 45.22613065326633, 53.158705701078574, 46.57534246575342, 54.11585365853659]",3
4,76.47085213776326,87.77429467084639,"[71.3436385255648, 87.77429467084639, 72.30142566191445, 77.00892857142857, 75.0, 75.39682539682539]",4
5,48.49148818125215,58.064516129032256,"[49.79811574697173, 50.8390918065153, 47.424972211930346, 41.89294026377036, 58.064516129032256, 42.92929292929293]",5
6,56.59740336579646,63.644289450741056,"[50.602409638554214, 62.21547799696509, 54.6875, 51.87637969094922, 56.55836341756919, 63.644289450741056]",6
7,65.01004718052312,72.17391304347825,"[54.15499533146592, 65.10416666666666, 71.23655913978494, 61.702127659574465, 62.42774566473989, 64.31535269709543, 72.17391304347825, 68.9655172413793]",7
8,63.61760057645671,69.46354883081156,"[53.13496280552603, 65.43385490753911, 64.11917098445596, 63.013698630136986, 67.77493606138107, 69.46354883081156, 62.38303181534622]",8
9,82.93347024831354,91.49722735674676,"[76.51006711409396, 83.23831242873432, 85.27131782945736, 91.49722735674676, 81.34490238611714, 88.23529411764706, 76.03092783505154, 81.33971291866028]",9
10,70.59002895732637,81.35283363802559,"[62.20095693779904, 72.25691347011596, 81.35283363802559, 64.6067415730337, 72.53269916765755]",10
11,69.04937753013557,77.088948787062,"[59.4059405940594, 66.47398843930635, 63.61520558572537, 73.13738892686261, 74.57479284779764, 77.088948787062]",11
12,60.89521919495375,65.33333333333333,"[58.41660261337433, 53.613053613053616, 60.03752345215759, 65.33333333333333, 61.20826709062003, 62.80587275693312, 64.85188150520416]",12
13,39.42018966577237,44.44444444444444,"[40.3530895334174, 44.44444444444444, 33.463035019455255]",13
14,91.93996228288457,98.47036328871893,"[88.19345661450924, 88.08290155440416, 98.47036328871893, 89.6551724137931, 98.01876955161624, 94.44444444444444, 93.34763948497853, 88.40864440078586, 88.8382687927107]",14
15,69.43727721338927,79.06558849955077,"[59.210526315789465, 64.06685236768803, 72.58064516129033, 79.06558849955077, 72.26277372262774]",15
16,71.4113003327042,79.09258123850398,"[74.27937915742794, 79.09258123850398, 73.47670250896057, 73.96788990825688, 63.78737541528238, 69.59152798789712, 65.68364611260054]",16
17,57.526951692399415,62.57242178447277,"[53.4521158129176, 62.57242178447277, 57.16463414634146, 56.32183908045977, 58.82352941176471, 62.570462232243514, 51.783659378596084]",17
18,50.57734984122439,50.85865257595773,"[50.69501226492232, 50.85865257595773, 50.410958904109584, 50.59847660500544, 50.36908380373426, 50.53191489361702]",18
19,70.26351601219217,79.87551867219918,"[62.00676437429537, 67.68792304951906, 75.31380753138076, 66.43356643356644, 79.87551867219918]",19
20,62.909990375353416,66.72845227062095,"[57.091882247992864, 65.48175865294668, 66.72845227062095, 62.40928882438316, 62.8385698808234]",20
21,66.9014813734206,76.92307692307693,"[59.50413223140496, 55.369127516778526, 66.45316253002402, 66.006600660066, 72.62569832402234, 76.92307692307693, 71.42857142857143]",21
22,63.363658987643674,68.42105263157895,"[64.67661691542288, 68.42105263157895, 66.3176265270506, 61.53846153846155, 60.74766355140187, 63.364055299539174, 57.197330791229746, 64.64646464646465]",22
23,53.67360875233026,62.7177700348432,"[52.245646196150325, 47.7326968973747, 51.478641840087626, 50.94130675526024, 57.45454545454545, 53.14465408805031, 62.7177700348432]",23
24,73.29861153789851,80.98987626546682,"[65.11175898931002, 74.69879518072288, 65.00541711809318, 77.85467128027682, 73.54443309499489, 75.88532883642496, 80.98987626546682]",24
25,54.226136559504376,74.07407407407408,"[50.35128805620609, 50.520833333333336, 49.96755353666451, 51.450276243093924, 51.42610198789974, 74.07407407407408, 51.79282868525897]",25
26,69.93811577338275,74.05313736574335,"[72.15619694397283, 74.05313736574335, 73.98423286840509, 68.4931506849315, 61.003861003861005]",26
27,80.55200181561524,83.69565217391303,"[82.15962441314555, 83.69565217391303, 80.29978586723767, 82.44994110718491, 75.97173144876325, 78.73527588344699]",27
28,69.8972865379967,75.82417582417581,"[64.87341772151899, 67.13286713286715, 60.98964326812428, 72.46376811594202, 73.63927427961579, 70.3125, 75.82417582417581, 69.8005698005698, 74.03936269915651]",28
29,65.00179737825457,66.80805938494167,"[66.41366223908918, 65.12042818911686, 66.80805938494167, 63.75092661230541, 62.91591046581972]",29
30,45.89111595312886,47.37903225806451,"[47.206923682140044, 47.37903225806451, 43.2345876701361, 44.470224284609436, 47.16481187069422]",30
31,66.23324585126603,73.26007326007326,"[64.56456456456456, 73.26007326007326, 71.11111111111111, 62.2655663915979, 60.81081081081081, 65.38734896943852]",31
32,67.16066605836905,73.66071428571428,"[67.6949443016281, 60.317460317460316, 73.66071428571428, 65.87712805329386, 69.53125, 64.92089470812874, 68.12227074235808]",32
33,50.694494090251204,51.000953288846524,"[50.984936268829664, 51.000953288846524, 50.097592713077425]",33
34,53.821229855069205,63.40057636887608,"[51.282051282051285, 63.40057636887608, 50.98174302445746, 49.620548744892]",34
35,62.71974987982231,68.42737094837936,"[55.66037735849056, 68.42737094837936, 63.39622641509435, 65.5307994757536, 62.028499580888514, 57.77777777777777, 62.821245002855505, 66.11570247933884]",35
36,58.35561266313623,62.870699881376034,"[47.61904761904762, 60.57945566286216, 62.870699881376034, 58.15602836879433, 62.552831783601015]",36
37,69.66448473815275,74.42888725128961,"[72.16494845360825, 74.42888725128961, 71.42857142857143, 64.62212486308871, 73.88404309902513, 61.458333333333336]",37
38,70.09836591454146,80.13468013468012,"[57.692307692307686, 63.386155129274385, 80.13468013468012, 73.60552041403105, 75.67316620241411]",38
39,62.91271266756608,73.69614512471655,"[50.875729774812335, 62.8099173553719, 71.27659574468085, 55.78512396694215, 73.69614512471655, 67.65523632993512, 70.15457788347206, 54.1871921182266, 57.94831636648394, 64.7382920110193]",39
40,65.1328344129715,74.43682664054847,"[23.80952380952381, 72.3905723905724, 70.08086253369272, 69.97455470737914, 70.92198581560282, 74.43682664054847, 74.31551499348109]",40
41,46.66096190108824,60.742971887550205,"[40.24767801857585, 39.354187689202824, 44.27083333333333, 48.68913857677903, 60.742971887550205]",41
42,34.708691515079096,45.58404558404558,"[45.58404558404558, 37.70949720670391, 30.852994555353902, 42.90429042904291, 35.83061889250814, 31.284916201117316, 25.974025974025974, 25.069637883008358, 36.69724770642202, 35.17964071856287]",42
43,69.07761432366203,73.4966592427617,"[56.10972568578553, 67.55373592630501, 68.36827711941659, 68.02721088435375, 70.97933513027853, 72.61904761904762, 72.12317666126418, 72.42136064374543, 73.4966592427617]",43
44,67.13279156008151,74.23312883435582,"[68.84480746791132, 59.53693495038588, 64.95263870094722, 65.81986143187066, 67.16417910447761, 74.23312883435582, 69.377990430622]",44
45,50.381277832159,51.55243116578793,"[51.55243116578793, 49.58960328317374, 50.78260869565217, 50.735514860402276, 49.24623115577889]",45
46,66.57665056711146,72.67605633802816,"[55.61735261401557, 70.93821510297484, 71.42857142857143, 67.0, 58.58230814294083, 72.67605633802816, 69.79405034324944]",46
47,68.08047113847778,80.18867924528301,"[63.27543424317618, 66.1345496009122, 57.182705718270576, 62.330623306233065, 71.1340206185567, 73.9268680445151, 72.74490785645006, 80.18867924528301, 65.80645161290322]",47
48,70.15558233161967,78.125,"[59.73025048169557, 77.08779443254818, 66.4983164983165, 73.89162561576354, 78.125, 73.6318407960199, 62.12424849699398]",48
49,53.614260446241346,74.9185667752443,"[41.80064308681672, 54.626532887402455, 50.05889281507656, 74.9185667752443, 46.666666666666664]",49
