v1,v2,cor
steps,steps,1
steps,fatigue,-0.21217331798345807
steps,dress_shower,-0.17529588130593984
steps,stairs,-0.05964721021680268
steps,common,-0.140264261254767
steps,pain,-0.20109095009757758
steps,rash,-0.19916452983178257
steps,wellness,0.325814665824366
steps,tomorrow,-0.11883360381428316
steps,pred_yesterday,-0.1921341293975648
steps,fatigue_next_day,-0.38131157603951976
steps,..Biceps.Brachii.Right_PM,0.028687514161974844
steps,..Biceps.Brachii.Left_AM,-0.15965926567993213
steps,..Biceps.Brachii.Left_PM,0.15701670765606826
steps,..Biceps.Brachii.Right_AM,-0.18180090722689293
steps,..Vastus.Lateralis.Left_AM,-0.25427222316767395
steps,..Vastus.Lateralis.Left_PM,-0.44404243799830057
steps,..Vastus.Lateralis.Right_AM,0.10868190366680723
steps,..Vastus.Lateralis.Right_PM,-0.04441893248029914
fatigue,steps,-0.21217331798345807
fatigue,fatigue,1
fatigue,dress_shower,0.6362494586912975
fatigue,stairs,0.4296347036321553
fatigue,common,0.581825919651411
fatigue,pain,0.48932131081491587
fatigue,rash,0.5993457913968181
fatigue,wellness,-0.6856081155578864
fatigue,tomorrow,-0.32412708272952884
fatigue,pred_yesterday,0.07562671002059668
fatigue,fatigue_next_day,0.3442290390259585
fatigue,..Biceps.Brachii.Right_PM,-0.08762917487759414
fatigue,..Biceps.Brachii.Left_AM,-0.1205487537422315
fatigue,..Biceps.Brachii.Left_PM,-0.11611998949617468
fatigue,..Biceps.Brachii.Right_AM,-0.18422562195597567
fatigue,..Vastus.Lateralis.Left_AM,0.4656849116536193
fatigue,..Vastus.Lateralis.Left_PM,0.30321544823461005
fatigue,..Vastus.Lateralis.Right_AM,0.12315356860076478
fatigue,..Vastus.Lateralis.Right_PM,0.4390516149272943
dress_shower,steps,-0.17529588130593984
dress_shower,fatigue,0.6362494586912975
dress_shower,dress_shower,1
dress_shower,stairs,0.586284653224769
dress_shower,common,0.5777188298841612
dress_shower,pain,0.6469966392206306
dress_shower,rash,0.8008872871159164
dress_shower,wellness,-0.6906921687873878
dress_shower,tomorrow,-0.46464646464646453
dress_shower,pred_yesterday,0.20488488887453993
dress_shower,fatigue_next_day,0.2896310680561335
dress_shower,..Biceps.Brachii.Right_PM,0.2936827022584699
dress_shower,..Biceps.Brachii.Left_AM,-0.026779449667749988
dress_shower,..Biceps.Brachii.Left_PM,0.25249283949973655
dress_shower,..Biceps.Brachii.Right_AM,0.02525077752965539
dress_shower,..Vastus.Lateralis.Left_AM,0.06774191757921447
dress_shower,..Vastus.Lateralis.Left_PM,0.03662750430168085
dress_shower,..Vastus.Lateralis.Right_AM,-0.3331730515372268
dress_shower,..Vastus.Lateralis.Right_PM,0.33338010167827087
stairs,steps,-0.05964721021680268
stairs,fatigue,0.4296347036321553
stairs,dress_shower,0.586284653224769
stairs,stairs,1
stairs,common,0.7561754230450912
stairs,pain,0.7916331135924695
stairs,rash,0.5228374118172323
stairs,wellness,-0.6573433637868399
stairs,tomorrow,-0.4275475040315016
